city,mayor
Murfreesboro,Shane McFarland
High Point,Cyril Jefferson
Beavercreek,Don Adams
Downey,Mario Trujillo
Fairbanks,David Pruhs
Euless,Linda Martin
Jersey City,Steven M. Fulop
Duncanville,Greg Contreras
Hammond,Thomas M. McDermott Jr.
Irving,Rick Stopfer
Pocatello,Brian Blad
Smyrna,Derek Norton
Schaumburgvillage,Not Found
Ocala,Ben Marciano
Boca Raton,Scott Singer
Kettering,Peggy Lehner
Shaker Heights,David E. Weiss
Florissant,Timothy J. Lowery
Ames,James Allen Joines
Longview,Kristen Ishihara
Daytona Beach,Derrick L. Henry
Victoria,Victoria Woodards
Loveland,Jacki Marsh
Hoboken,Ravinder S. Bhalla
Allen Park,Not Found
Monrovia,Becky A. Shelvin
Harrisonburg,Deanna R. Reed
Stanton,David J. Shawver
North Little Rock,Terry Hartwick
La Puente,Gabriel Quiñones
San Luis Obispo,Erica A. Stewart
Rosemead,Steven Ly
Panama City,Michael Rohan Sr.
Mentor,Not Found
Columbus,Andrew J. Ginther
Bryan,Bobby Gutierrez
Reno,Hillary Schieve
Mobile,William 'Sandy' S. Stimpson
Alexandria,Justin Wilson
Bakersfield,Karen K. Goh
Bloomington,Tim Busse
Monterey Park,Thomas Wong
Marietta,Steve 'Thunder' Tumlin
Rancho Palos Verdes,John Cruikshank
Hot Springs,Pat McCabe
Methuen,Neil Perry
Shaler,Not Found
Valdosta,Scott James Matheson
Huntsville,Tommy Battle
New Britain,Erin E. Stewart
Glendora,Mendell Thompson
Manitowoc,Justin Nickels
Memphis,Paul Young
Apple Valley,Scott Nassif
Tracy,Nancy Young
Burlington,James B. Butler
Bridgeport,Joe Ganim
Gulfport,Billy Hewes
Richland,Jack McCarty
Beverly Hills,Lester J. Friedman
Highland,Penny Lilburn
Cleveland,Justin Bibb
Blaine,Tim Sanders
Phoenix,Kate Gallego
Taunton,Shaunna O'Connell
Santa Barbara,Randy Rowse
South San Franciscodivision,Not Found
Rapid City,Jason Salamun
Palmdale,Austin Bishop
Greensboro,Nancy Vaughan
Dayton,Jeffrey J. Mims Jr.
Mount Pleasant,Will Haynie
La Habra,Daren Nigsarian
Berkeley,Jesse Arreguin
Hackensack,John P. Labrosse Jr.
Indio,Lupe Ramos Amith
Lakewood,Wendi Strom
Watsonville,Vanessa Quiroz-Carter
Tucson,Regina Romero
Alameda,Marilyn Ezzy Ashcraft
Owensboro,Tom Watson
Pacifica,Sue Vaterlaus
Irvington,Tony Vauss
Oceanside,Esther C. Sanchez
Nashua,Jim Donchess
Akron,Shammas Malik
Eagan,Mike Maguire
Bayonne,James 'Jimmy' M. Davis
Burbank,Nick Schultz
Cypress,Scott Minikus
Corona,Tom Richins
Roseville,Bruce Houdesheldt
Brockton,Robert F. Sullivan
Lawton,Stan Booker
Lodi,Lisa Craig
La Mesa,Mark Arapostathis
Marlborough,J. Christian Dumais
San Jose,Matt Mahan
Upland,Bill Velto
East Orange,Theodore R. Green
Hemet,Joe Males
Oshkosh,Matt Mugerauer
North Brunswick,Francis 'Mac' Womack III
Huntington,Gracey Van Der Mark
Lynchburg,Stephanie Reed
Anchorage,Suzanne LaFrance
Garden Grove,Steven R. Jones
Riverside,Patricia Lock Dawson
Tustin,Austin Lumbard
Mc Allen,Not Found
Houston,John Whitmire
Eau Claire,Not Found
Streamwoodvillage,Not Found
Winslow,Marie Lawrence
Utica,Michael Galime
Vacaville,John Carli
Paramount,Annette C. Delgadillo
Palm Springs,Jeffrey Bernstein
San Francisco,London N. Breed
Dearborn Heights,Bill Bazzi
Montgomery,Steven Reed
Union,Carol Dutra-Vernaci
Sherman,Sherman P. Lea Sr.
Blacksburg,Leslie Hager-Smith
Wheaton,Philip J. Suess
Pleasanton,Karla Brown
Palm Bay,Rob Medina
Littleton,Kyle Schlachter
Davis,Darrell A. Davis
Wauwatosa,Dennis McBride
Allen,James Allen Joines
Gary,Gary Singh
Brookline,Not Found
West Hollywood,John M. Erickson
Seaside,Ian N. Oglesby
Alhambra,Sasha Renee Perez
Flint,Sheldon Neeley
Farmington,Theresa Rich
Baton Rouge,Sharon Weston Broome
Arlington,Jim Ross
Redding,Tenessa Audette
Danbury,Roberto Alves
Lima,Sharetta Smith
Laredo,Victor Trevino
Kenosha,David F. Bogdala
Yucaipa,Justin Beaver
Lowell,Daniel Rourke
Frederick,Michael O'Connor
Dana Point,Jamey Federico
Oakland,Sheng Thao
Muskogee,Patrick Cale
Visalia,Brian Poochigian
Yakima,Patricia Byers
Hattiesburg,Toby Barker
Harrisburg,Wanda R.D. Williams
La Crosse,Mitch Reynolds
Pinellas Park,Sandra 'Sandy' Lee Bradbury
San Mateo,Lisa Diaz Nash
Jefferson City,Ron Fitzwater
Lancaster,R Rex Parris
Rock Hill,John Gettys
Redlands,Eddie Tejeda
Suffolk,Michael D. Duman
Park Ridge,Marty Maloney
Tulare,Terry A. Sayre
Enid,David Mason
Cape Girardeau,Stacy Kinder
Rome,Regina Romero
Edina,Rob Medina
Lansing,Andy Schor
Bellingham,Kim Lund
Altoona,Matt Pacifico
Chula Vista,John McCann
Tallahassee,John E. Dailey
Lake Oswego,Joe Buck
Lufkin,Mark Hicks
Manteca,Gary Singh
Orange,Dan Slater
Oxnard,John Zaragoza
League City,Nick Long
Livermore,John P. Marchand
German,Mike Palazzolo
Water,Bruce Rector
Campbell,Tara Campbell
Trenton,W. Reed Gusciora Esq.
Hampton,Donnie R. Tuck
Gastonia,Richard Franks
Malden,Gary Christenson
Gilroy,Marie Blankley
San Angelo,Brenda Gunter
Fresno,Jerry Dyer
Weymouth,Robert L. Hedlund
Garden City,Mark Jacobs
Naperville,Scott Wehrli
Peabody,Edward A. Bettencourt Jr.
Mount Vernon,Shawyn Patterson-Howard
Erie,Valerie Amezcua
Pueblo,Heather Graham
Orem,David Young
Baltimore,Brandon M Scott
Waterbury,"Paul K. Pernerewski, Jr"
Asheville,Esther E. Manheimer
Highland Park,Nancy Rodkin Rotering
Tupelo,Todd Jordan
Massillon,Jamie Slutz
Kirkland,Penny Sweet
Chandler,Kevin Hartke
Ann Arbor,Christopher Taylor
Pasadena,Jeff A. Wagner
Fort Myers,Kevin B Anderson
Logan,Holly H. Daines
Chesapeake,Richard 'Rick' W. West
Sunnyvale,Larry Klein
Ogden,Ben Nadolski
Albuquerque,Tim Keller
Montebello,Scarlet Peralta
Ewing,Bert Steinmann
Pawtucket,Donald R. Grebien
Hayward,Mark Salinas
Kenner,Michael J. Glaser
Prichard,Not Found
Salem,James Allen Joines
Sarasota,Liz Alpert
Petersburg,Kenneth Welch
Houma,Not Found
Somerville,Katjana Ballantyne
Boston,Michelle Wu
Lorain,Jack W. Bradley
Fitchburg,Samantha Squailia
Charlotte,Vi Alexander Lyles
Cupertino,Sheila Mohan
Grand Forks,Brandon Bochenski
Beaumont,Roy West
Mountain View,Patricia Showalter
Bismarck,Michael Schmitz
Pico Rivera,Andrew C. Lara
Vineland,Anthony Fanucci
Racine,Cory Mason
Chester,Malik Evans
Greenville,P.J. Connelly
Barnstable,Not Found
Cherry Hill,Dave Fleisher
Dallas,Eric Johnson
Washington,Bruce Harrell
Fargo,Tim Mahoney
Portland,Ted Wheeler
Wausau,Doug Diny
West Haven,Dorinda Borer
Redmond,Angela Birney
Sayrevilleborough,Not Found
Savannah,Van R. Johnson II
Arlington Heightsvillage,Not Found
Diamond Bar,Stan Liu
Kentwood,Stephen Kepley
Meriden,Kevin M. Scarpati
Albany,Kathy M. Sheehan
La Mirada,Andrew Sarega
Bensalem,Joseph DiGirolamo
Burnsville,Elizabeth B. Kautz
Sandy,William 'Sandy' S. Stimpson
North Richland Hills,Jack McCarty
West Hartford,Shari Cantor
Terre Haute,Brandon Sakbun
Redondo Beach,James Light
Jackson,Donna Deegan
North Bergen,Nicholas J. Sacco
Minneapolis,Jacob Frey
Nacogdoches,Randy Johnson
Lewisville,TJ Gilmore
Fayetteville,Mitch Colvin
Plainfield,Adrian O. Mapp
Port Huron,Not Found
Bellevue,Lynne Robinson
Naugatuck,N 'Pete' Warren Hess III
Hoffman Estatesvillage,Not Found
Coral Springs,Scott Brook
Murray,Brett A. Hales
Sterling Heights,Michael C. Taylor
Bay,Ramon Luis Rivera Cruz
Evesham,Jaclyn Veasy
Renton,Armondo Pavone
Norwich,Peter Albert Nystrom
Falls,Paul TenHaken
Bellflower,Dan Koops
Cathedral City,Mark Carnevale
Missouri City,Robin J. Elackatt
Kearny,Carol Jean Doyle
Minot,Tom Ross
Oklahoma City,David Holt
Lynwood,Jose Luis Solache
Upper Arlington,Ukeme Awakessien Jeter
El Paso,Oscar Leeser
Schenectady,Gary R. McCarthy
Clarksville,Joe Pitts
Clearwater,Bruce Rector
Monterey,Thomas Wong
Woburn,Michael Concannon
Brick,Lisa Crate
Killeen,Debbie Nash-King
Pittsburg,Ed Gainey
Tulsa,G.T. Bynum
Whittier,Joe Vinatieri
Seattle,Bruce Harrell
Novato,Mark Milberg
Jacksonville,Donna Deegan
Lynn,Rosalynn Bliss
Saginaw,Brenda Fay Moore
Sumter,David P. Merchant
Midwest City,Matt Dukes
Los Angeles,Karen Bass
Annapolis,M Darrell Hinnant
Rochester,Malik Evans
Huber Heights,Jeffrey Gore
Norwalk,Margarita L. Rios
Kokomo,Tyler Moore
Lewiston,Carl Lowell Sheline
South Bend,James Mueller
Vancouver,Anne McEnerny-Ogle
Lafayette,Monique Boulet
Chesterfield,Bob Nation
Kansas City,Quinton Lucas
Twentynine Palms- Morongo Valle,Not Found
Pontiac,Tim Greimel
Fullerton,Nick Dunlap
New Orleans,LaToya Cantrell
Randolph,Not Found
West Des Moines,Russ Trimble
Clifton,Raymond Grabowski
Duluth,Roger Reinert
Niagara Falls,Robert Restaino
Maple Grove,Mark V. Steffenson
Pomona,Tim Sandoval
Chattanooga,Tim Kelly
Scottsdale,David D. Ortega
Kalamazoo,David Anderson
Chicago,Brandon Johnson
Baldwin Park,Emmanuel J. Estrada
Deerfield Beach,Bill Ganz
Ray,Mark McBrayer
Atlanta,Andre Dickens
Salt Lake City,Erin J. Mendenhall
Tacoma,Victoria Woodards
Dothan,Mark Saliba
Grand Rapids,Rosalynn Bliss
Kennewick,Gretl Crawford
West Orange,Susan McCartney
Waterloo,Quentin M. Hart
Lower Paxton,Not Found
Spokane,Lisa Brown
Santa Ana,Valerie Amezcua
Rockford,Thomas P. McNamara
Irvine,Farrah N. Khan
Strongsville,Thomas P. Perciak
Gloucester,David R. Mayer
Worcester,Joseph M. Petty
Fremont,Lily Mei
West Jordan,Dick Burton
Richfield,Mary Supple
Fair Lawnborough,Not Found
Roanoke,Sherman P. Lea Sr.
Concord,Edi E. Birsan
Palo Alto,Greer Stone
Delray Beach,Tom Carney
Des Moines,Connie Boesen
East Brunswick,Brad J. Cohen
Tampa,Jane Castor
Troy,Ethan Baker
Taylor,Michael C. Taylor
Decatur,Julie Moore-Wolfe
Hesperia,Larry Bird
Des Plaines,Andrew Goczkowski
Lake Charles,Nicholas 'Nic' Hunter
Joplin,Keenan T. Cortez Sr.
Waco,Jim Holmes
Raleigh,Mary-Ann Baldwin
Linden,Derek Armstead
Dunedin,Julie Ward Bujalski
Flagstaff,Becky Daggett
Midland,Lori Blong
Scranton,Paige G. Cognetti
Portsmouth,Shannon E. Glover
Hillsboro,Steve Callaway
Cranston,Kenneth J. Hopkins
Coral Gables,Vince C. Lago
Boynton Beach,Ty Penserga
Bristol,Jeff Caggiano
Mission Viejo,Trish Kelley
Davie,Judith Paul
Denver,Mike Johnston
Haverford,Not Found
Westminster,Nan McNally
Beverly,Michael P. Cahill
Wallingford,Vincent Cervoni
Stratford,Laura Hoydick
Rocky Mount,C. 'Sandy' Saunders Roberson Jr.
Ontario,Paul S. Leon
Michigan City,Angie Nelson Deuitch
San Bruno,Rico E. Medina
Fontana,Acquanetta Warren
Sunrise,Michael J. Ryan
Piscataway,Brian C. Wahler
Evansville,Stephanie Terry
San Dimas,Emmett Badar
Williamsport,Not Found
Plantation,Nick Sortal
Costa Mesa,John Stephens
Chapel Hill,Jessica Anderson
Belleville,Patty Gregory
Anderson,Kevin B Anderson
Miami Beach,Steven Meiner
Las Vegas,Carolyn Goodman
Fountain Valley,Glenn Grandis
Galveston,Craig Brown
Placentia,Jeremy B. Yamaguchi
Glenviewvillage,Not Found
Birmingham,Randall Woodfin
Livonia,Maureen Miller Brosnan
Binghamton,Jared M. Kraham
Gainesville,Harvey Ward
Wyoming,Kent Vanderwood
Willingboro,Kaya McIntosh
Wyandotte,Not Found
Kent,Craig Greenberg
Cary,Harold Weinbrecht Jr.
Leominster,Dean J. Mazzarella
Wayne,Sharon Tucker
Milpitas,Carmen Montano
Beloit,Not Found
Galesburg,Not Found
Hollywood,Josh Levy
Danville,Karen Stepper
Pompano Beach,Rex Hardin
Bay City,Jesse Dockett
Davenport,Mike Matson
Aurora,Mike Coffman
Arcadia,Michael Cao
National City,Ron Morrison
Cleveland Heights,Kahlil Seren
Detroit,Mike Duggan
Round Rock,Craig Morgan
Tamarac,Michelle J. Gomez
Camarillo,Tony Trembley
Passaic,Hector Lora
East Lansing,George Brookover
Vallejo,Robert H. McConnell
Northampton,Not Found
Bell Gardens,Gabriela Gomez
Hawthorne,Alex Vargas
Eden Prairie,Ron Case
Largo,Woody Brown
West Covina,Brian Tabatabai
Westland,Kevin Coleman
Newport Beach,Will O'Neill
Port Orange,Donald O. Burnette
Texas City,Dedrick D. Johnson Sr.
Battle Creek,Mark Behnke
Moreno Valley,Ulises Cabrera
Tempe,Corey Woods
Santa Rosa,Natalie Rogers
College Station,John Nichols
Maplewood,Marylee Abrams
New York,Eric L. Adams
De Soto,Not Found
Wilson,Justin Wilson
Eugene,Lucy K. Vinis
Newton,Ruthanne Fuller
Goldsboro,Charles Gaylor
Plymouth,Jeffry Wosje
Coventry,Not Found
Henderson,Michelle Romero
Denton,Gerard Hudspeth
Norman,Larry Heikkila
Novi,Justin Fischer
Brea,Breanna Lungo-Koehn
New Iberia,Not Found
East Chicago,Not Found
Chico,Andrew Coolidge
Brownsville,John Cowen Jr.
Antioch,Lamar Hernandez-Thorpe
Lincoln Park,Michael Higgins
Pennsauken,Marco DiBattista
